empresa;local_id;local_nombre;local_region;local_comuna;local_direccion;local_rpm;local_convenio;laboratorio;fecha_emision;fecha_muestreo;tipo_muestreo;tipo_monitoreo;aceites_grasas;ph;dbo5;dqo;fosforo;nitrogeno_amoniacal;poder_espumogeno;solidos_sedimentables;solidos_suspendidos_totales;volumen_de_descarga_diaria;volumen_de_descarga_mensual;aluminio;arsenico;boro;cadmio;cianuro;zinc;cobre;cromo_total;cromo_hexavalente;hidrocarburos_totales;MANGANESO  (MG/L);mercurio;niquel;plomo;sulfatos;sulfuros;TEMPERATURA    (C°)
RENDIC;87;JUAN MARTINEZ;I - Tarapacá;Iquique;M. Rodriguez 964;0.0;CONVENIO;SGS;;2024-01-25 00:00:00;RESUMEN;CONTROL DIRECTO;2.0;6.89;78.0;;3.7;50.15;2.0;0.6;63.0;9.4;282.0;;;;;;;;;;;;;;;;;26.88
RENDIC;85;AMUNATEGUI;I - Tarapacá;Iquique;Amunategui 902;0.0;CONVENIO;SGS;;2024-01-25 00:00:00;RESUMEN;CONTROL DIRECTO;7.0;6.65;299.0;;8.2;178.62;2.0;8;454.0;3.8;114.0;;;;;;;;;;;;;;;;;25.21
RENDIC;477;CURAUMA;V - Valparaiso;Valparaíso;Obispo Valdes 1170;2721.0;SIN CONVENIO;CESMEC;;2024-01-26 00:00:00;RESUMEN;AUTOCONTROL;28.0;7.14;593.0;;11.9;15.22;2.0;0.5;94.0;10.4;312.0;;;;;;;;;;;;;;;;;20.2
RENDIC;754;TEMUCO IV;IX - Araucanía;Temuco;Avenida Javiera Carrera 1610;0.0;CONVENIO;AGQ;;2024-01-26 00:00:00;RESUMEN;CONTROL DIRECTO;11.8;6.68;301.0;;2.6;111.0;2.0;6;500.0;8.92;267.6;;;;;;;;;;;;;;;;;19.35
RENDIC;472;CALDERA I;III - Atacama;Caldera;Batallon Atacama 319;0.0;CONVENIO;CESMEC;;2024-01-27 00:00:00;RESUMEN;AUTOCONTROL;6.5;7.05;442.0;;23.5;86.68;6.0;1.5;102.5;0.86;25.8;;;;;;;;;;;;;;;;;21.45
RENDIC;461;ZENTENO AUSTRAL;XII - Magallanes;Punta Arenas;Capitan Guillermo 05;3736.0;SIN CONVENIO;HIDROLAB;;2024-01-29 00:00:00;COMPLETO;AUTOCONTROL;2.2;7.21;250.0;;4.3;0.36;2.0;0.1;26.0;6.73;201.9;1.08;0.002;0.02;0.002;0.02;0.322;0.132;0.005;0.01;5.0;0.051;0.001;0.058;0.02;59.3;0.1;9.7
RENDIC;106;LOS MOLLES;I - Tarapacá;Iquique;Santiago Polanco 2251;4050.0;CONVENIO;SGS;;2024-02-01 00:00:00;RESUMEN;CONTROL DIRECTO;8.0;6.75;241.0;;6.0;40.25;18.0;0.5;61.0;7.1;213.0;;;;;;;;;;;;;;;;;26.57
RENDIC;86;BILBAO;I - Tarapacá;Iquique;Fco.Bilbao 3545;4049.0;CONVENIO;SGS;;2024-02-01 00:00:00;RESUMEN;CONTROL DIRECTO;9.0;7.16;578.0;;15.3;46.64;2.0;0.5;59.0;12.5;375.0;;;;;;;;;;;;;;;;;23.03
RENDIC;778;ORIENTE;X - Los Lagos;Osorno;Julio Buschman 2223;2867.0;CONVENIO;ANAM;;2024-02-04 00:00:00;RESUMEN;CONTROL DIRECTO;31.0;6.82;293.0;;6.0;82.56;2.0;0.5;280.0;11.8;354.0;;;;;;;;;;;;;;;;;13.7
RENDIC;14;COPIAPO;III - Atacama;Copiapó;Av. Henrriquez N° 523;0.0;CONVENIO;BIODIVERSA;;2024-02-05 00:00:00;RESUMEN;CONTROL DIRECTO;6.0;6.4;385.0;;7.84;31.65;47.0;0.9;52.69;1.728;51.839999999999996;;;;;;;;;;;;;;;;0.1;26.3
MAYORISTA;3143;M10 TEMUCO IV;IX - Araucanía;Temuco;Francisco Salazar 01650;4422.0;CONVENIO;AGQ;;2024-02-05 00:00:00;RESUMEN;CONTROL DIRECTO;0.5;8.05;143.0;;0.6;88.0;1.0;0.1;108.0;1.44;43.199999999999996;;;;;;;;;;;;;;;;;20.5
RENDIC;25;EL PALOMAR;III - Atacama;Copiapó;Av. Palomar 1525;3868.0;TERMINADO;BIODIVERSA;;2024-02-06 00:00:00;RESUMEN;CONTROL DIRECTO;6.0;7.5;108.0;;7.83;0.68;8.0;6;323.73;37.152;1114.56;;;;;;;;;;;;;;;;0.1;21.9
MAYORISTA;3022;M10 TEMUCO II;IX - Araucanía;Temuco;Pedro De Valdivia 2285;3721.0;CONVENIO;AGQ;;2024-02-07 00:00:00;RESUMEN;CONTROL DIRECTO;1.75;7.1;161.0;;17.1;38.1;4.0;0.1;36.0;6.84;205.2;;;;;;;;;;;;;;;;;19.01
RENDIC;472;CALDERA I;III - Atacama;Caldera;Batallon Atacama 319;0.0;CONVENIO;BIODIVERSA;;2024-02-08 00:00:00;RESUMEN;CONTROL DIRECTO;7.0;8.23;211.0;;11.74;34.1;57.0;2;65.38;303.264;9097.92;;;;;;;;;;;;;;;;0.8;23.5
RENDIC;85;AMUNATEGUI;I - Tarapacá;Iquique;Amunategui 902;0.0;CONVENIO;SGS;;2024-02-08 00:00:00;RESUMEN;CONTROL DIRECTO;8.0;6.9;97.0;;4.9;21.14;31.0;0.5;62.0;3.2;96.0;;;;;;;;;;;;;;;;;25.51
RENDIC;103;VIVAR;I - Tarapacá;Iquique;Vivar 786;4420.0;CONVENIO;SGS;;2024-02-12 00:00:00;RESUMEN;CONTROL DIRECTO;8.0;6.78;288.0;;9.3;58.81;2.0;1.5;128.0;12.7;381.0;;;;;;;;;;;;;;;;;28.02
RENDIC;777;CENTRAL;X - Los Lagos;Osorno;Patricio Lynch 1278;3684.0;CONVENIO;ANAM;;2024-02-13 00:00:00;RESUMEN;CONTROL DIRECTO;20.0;7.32;406.0;;9.0;8.54;3.0;0.5;75.0;1.7;51.0;;;;;;;;;;;;;;;;;15.9
